Treatment,AvgTemp,WaterLeft,EcLeft,WeightedSpad,new_leaf,Size_temp,Avg_temp,Max_temp
B,34.5,,0.19,60.55,0,18833,2628.867626,3354
B,34.5,,0.19,59.9,1,18158,2684.96167,3378
B,34.5,,0.19,60.55,1,18372,2673.136077,3405
B,34.5,,0.19,61.2,0,22424,2681.840483,3294
B,34.5,,0.19,61.85,0,19501,2678.436542,3472
B,34.5,,0.19,62.5,0,22448,2678.951488,3254
B,34.5,,0.19,63.15,0,14383,2727.304457,3325
B,34.5,,0.19,63.8,0,20288,2723.288693,3279
B,34.5,,0.19,62.98333333,0,28584,2742.460188,3435
B,34.5,,0.19,62.16666667,0,19315,2698.368625,3495
B,34.5,,0.19,61.35,0,27152,2713.975103,3453
B,34.5,,0.19,60.53333333,0,22154,2700.573711,3280
B,34.5,,0.19,59.71666667,0,21871,2682.017009,3257
B,34.5,,0.19,58.9,0,23284,2665.196659,3294
B,34.5,,0.19,58.9,1,22453,2752.931412,3275
B,34.5,,0.19,58.9,0,16587,2701.489299,3352
B,34.5,,0.19,58.9,0,20304,2598.0592,3258
C,34.5,,0.295,60.5,1,26072,2698.46594,3349
C,34.5,,0.295,60.5,0,14154,2671.421153,3344
C,34.5,,0.295,60.67142857,0,14576,2710.840697,3371
C,34.5,,0.295,60.84285714,0,19405,2734.494409,3322
C,34.5,,0.295,61.01428571,1,25345,2737.849517,3444
C,34.5,,0.295,61.18571429,1,20815,2752.776651,3403
C,34.5,,0.295,61.35714286,1,17450,2675.752665,3412
C,34.5,,0.295,61.52857143,1,20536,2685.364044,3368
C,34.5,,0.295,61.7,0,22085,2666.302694,3569
C,34.5,,0.295,61.25,0,19763,2671.452664,3524
C,34.5,,0.295,60.8,0,20372,2687.895985,3427
C,34.5,,0.295,60.35,0,24056,2687.87446,3424
C,34.5,,0.295,59.9,0,24734,2747.420191,3394
C,34.5,,0.295,59.45,0,21725,2750.574545,3430
C,34.5,,0.295,59,0,12989,2807.213488,3423
C,34.5,,0.295,59.45,0,25416,2837.292768,3445
C,34.5,,0.295,59.9,0,18497,2789.829432,3373
C,34.5,,0.295,60.35,0,28834,2811.389228,3774
C,34.5,,0.295,60.8,0,20596,2799.379394,3707
C,34.5,,0.295,61.25,0,23931,2780.6174,3487
C,34.5,,0.295,61.7,0,18372,2749.82887,3332
C,34.5,,0.295,61.43333333,0,19636,2744.81702,3417
C,34.5,,0.295,61.16666667,0,23372,2742.493796,3368
C,34.5,,0.295,60.9,0,21841,2790.556659,3785
C,34.5,,0.295,60.63333333,0,18374,2725.596168,3471
C,34.5,,0.295,60.36666667,0,15837,2773.287933,3339
C,34.5,,0.295,60.1,1,17986,2766.429779,3416
C,34.5,,0.295,60.1,1,22594,2754.834779,3428
C,34.5,,0.295,60.1,1,22157,2746.471454,3273
C,34.5,,0.295,60.1,0,22180,2685.32092,3326
D,34.5,,0.175,57.5,1,20525,2688.058514,3322
D,34.5,,0.175,57.5,1,19245,2756.881424,3629
D,34.5,,0.175,57.68571429,0,19306,2675.347509,3472
D,34.5,,0.175,57.87142857,0,18530,2665.129412,3248
D,34.5,,0.175,58.05714286,0,20128,2686.186457,3257
D,34.5,,0.175,58.24285714,0,19140,2675.339028,3381
D,34.5,,0.175,58.42857143,0,23125,2718.861103,3258
D,34.5,,0.175,58.61428571,0,29435,2751.764804,3371
D,34.5,,0.175,58.8,0,19170,2780.975639,3413
D,34.5,,0.175,59.73333333,0,21506,2756.193202,3501
D,34.5,,0.175,60.66666667,0,14531,2796.483724,3512
D,34.5,,0.175,61.6,0,18007,2797.390071,3567
D,34.5,,0.175,62.53333333,0,22865,2762.558583,3340
D,34.5,,0.175,63.46666667,1,22795,2833.70941,3161
D,34.5,,0.175,64.4,0,20342,2826.936584,3503
D,34.5,,0.175,63.86666667,1,23156,2895.900846,3426
D,34.5,,0.175,63.33333333,0,20613,2788.673022,3512
D,34.5,,0.175,62.8,0,20577,2823.8908,3279
D,34.5,,0.175,62.26666667,0,21492,2780.189838,3430
D,34.5,,0.175,61.73333333,0,28149,2786.065118,3465
D,34.5,,0.175,61.2,0,20939,2784.415731,3316
D,34.5,,0.175,60.78333333,0,23551,2760.998599,3357
D,34.5,,0.175,60.36666667,0,21161,2751.698218,3390
D,34.5,,0.175,59.95,0,15967,2711.721676,3334
D,34.5,,0.175,59.53333333,0,21052,2687.032158,3309
D,34.5,,0.175,59.11666667,0,16854,2675.208556,3596
D,34.5,,0.175,58.7,1,23639,2702.821355,3250
D,34.5,,0.175,58.7,1,29995,2685.86291,3302
D,34.5,,0.175,58.7,0,30232,2685.325913,3358
D,34.5,,0.175,58.7,0,20229,2701.872213,3375
A,36,125,0.04,66,0,19072,2794.409186,3627
A,36,125,0.04,66,0,20725,2893.007817,3595
A,36,125,0.04,64.74285714,0,18515,2835.966568,3444
A,36,125,0.04,63.48571429,0,19552,2790.280585,3599
A,36,125,0.04,62.22857143,0,25892,2782.120153,3481
